ID_Inscricao,ID_Pessoa,ID_Evento,Data_Inscricao,Presenca,Observacao
1,25,8,2025-01-03,Sim,Participou parcialmente
2,72,18,2025-12-10,Não,Participou parcialmente
3,44,15,2025-01-28,Sim,
4,76,13,2025-02-18,Sim,
5,28,3,2025-10-01,Não,Participou parcialmente
6,43,10,2025-07-07,Sim,
7,67,6,2025-09-05,Não,
8,53,3,2025-07-04,Sim,
9,35,18,2025-08-26,Não,Participou parcialmente
10,35,4,2025-02-22,Não,Ausente por motivo pessoal
11,78,10,2025-04-20,Sim,Participou parcialmente
12,65,15,2025-05-07,Não,Participou todo o evento
13,5,12,2025-12-14,Não,Participou parcialmente
14,77,4,2025-10-13,Sim,Participou parcialmente
15,15,10,2025-05-12,Não,
16,79,3,2025-03-12,Não,Participou todo o evento
17,74,8,2025-11-26,Não,Ausente por motivo pessoal
18,20,9,2025-11-30,Sim,Participou parcialmente
19,76,1,2025-08-18,Não,Participou todo o evento
20,73,5,2025-06-01,Não,Ausente por motivo pessoal
21,16,12,2025-07-05,Não,
22,18,10,2025-02-27,Não,
23,75,2,2025-01-21,Não,Participou todo o evento
24,57,2,2025-01-06,Sim,Ausente por motivo pessoal
25,23,15,2025-01-16,Não,Participou parcialmente
26,47,2,2025-05-19,Não,Participou todo o evento
27,78,5,2025-01-03,Não,Ausente por motivo pessoal
28,16,12,2025-08-30,Não,Ausente por motivo pessoal
29,20,20,2025-04-22,Não,Participou todo o evento
30,73,19,2025-09-04,Não,Ausente por motivo pessoal
31,75,10,2025-09-13,Não,Participou todo o evento
32,65,18,2025-10-24,Sim,Ausente por motivo pessoal
33,29,1,2025-08-08,Sim,
34,65,20,2025-09-20,Sim,Participou parcialmente
35,65,10,2025-02-02,Sim,Participou todo o evento
36,36,14,2025-05-01,Não,
37,66,19,2025-11-05,Sim,Participou parcialmente
38,40,4,2025-05-31,Sim,
39,10,8,2025-11-13,Não,Participou parcialmente
40,23,10,2025-03-02,Sim,
41,70,2,2025-05-14,Sim,
42,59,12,2025-02-02,Sim,Participou parcialmente
43,76,6,2025-07-10,Sim,Ausente por motivo pessoal
44,62,4,2025-07-16,Sim,Participou parcialmente
45,76,19,2025-04-13,Sim,
46,67,9,2025-01-31,Sim,
47,44,2,2025-03-29,Sim,Participou parcialmente
48,11,18,2025-04-18,Sim,Participou parcialmente
49,60,6,2025-03-07,Não,
50,27,3,2025-07-16,Não,Participou parcialmente
51,10,11,2025-01-15,Sim,Participou todo o evento
52,15,2,2025-11-10,Não,
53,62,4,2025-05-30,Não,Ausente por motivo pessoal
54,33,11,2025-02-10,Sim,Participou todo o evento
55,33,4,2025-05-10,Sim,Participou todo o evento
56,69,15,2025-06-11,Não,Ausente por motivo pessoal
